** Conflict ** , thinking about stall or another move
** Conflict ** , thinking about stall or another move
Printing final path
Player 1 going at posisition at<78,39> at step 279
Player 2 going at posisition at<51,46> at step 279
Player 1 going at posisition at<78,40> at step 280
Player 2 going at posisition at<50,46> at step 280
Player 1 going at posisition at<78,41> at step 281
Player 2 going at posisition at<49,46> at step 281
Player 1 going at posisition at<78,42> at step 282
Player 2 going at posisition at<48,46> at step 282
Player 1 going at posisition at<78,43> at step 283
Player 2 going at posisition at<47,46> at step 283
Player 1 going at posisition at<77,43> at step 284
Player 2 going at posisition at<47,47> at step 284
Player 1 going at posisition at<77,44> at step 285
Player 2 going at posisition at<46,47> at step 285
Player 1 going at posisition at<77,45> at step 286
Player 2 going at posisition at<45,47> at step 286
Player 1 going at posisition at<76,45> at step 287
Player 2 going at posisition at<44,47> at step 287
Player 1 going at posisition at<76,46> at step 288
Player 2 going at posisition at<44,48> at step 288
Player 1 going at posisition at<75,46> at step 289
Player 2 going at posisition at<44,49> at step 289
Player 1 going at posisition at<74,46> at step 290
Player 2 going at posisition at<44,50> at step 290
Player 1 going at posisition at<73,46> at step 291
Player 2 going at posisition at<44,50> at step 291
Player 1 going at posisition at<72,46> at step 292
Player 2 going at posisition at<45,50> at step 292
Player 1 going at posisition at<71,46> at step 293
Player 2 going at posisition at<46,50> at step 293
Player 1 going at posisition at<70,46> at step 294
Player 2 going at posisition at<46,51> at step 294
Player 1 going at posisition at<69,46> at step 295
Player 2 going at posisition at<47,51> at step 295
Player 1 going at posisition at<68,46> at step 296
Player 2 going at posisition at<48,51> at step 296
Player 1 going at posisition at<67,46> at step 297
Player 2 going at posisition at<49,51> at step 297
Player 1 going at posisition at<66,46> at step 298
Player 2 going at posisition at<50,51> at step 298
Player 1 going at posisition at<65,46> at step 299
Player 2 going at posisition at<51,51> at step 299
Player 1 going at posisition at<64,46> at step 300
Player 2 going at posisition at<52,51> at step 300
Player 1 going at posisition at<63,46> at step 301
Player 2 going at posisition at<53,51> at step 301
Player 1 going at posisition at<62,46> at step 302
Player 2 going at posisition at<54,51> at step 302
Player 1 going at posisition at<61,46> at step 303
Player 2 going at posisition at<55,51> at step 303
Player 1 going at posisition at<60,46> at step 304
Player 2 going at posisition at<56,51> at step 304
Player 1 going at posisition at<59,46> at step 305
Player 2 going at posisition at<57,51> at step 305
Player 1 going at posisition at<58,46> at step 306
Player 2 going at posisition at<58,51> at step 306
Player 1 going at posisition at<57,46> at step 307
Player 2 going at posisition at<59,51> at step 307
Player 1 going at posisition at<56,46> at step 308
Player 2 going at posisition at<59,52> at step 308
Player 1 going at posisition at<55,46> at step 309
Player 2 going at posisition at<59,53> at step 309
Player 1 going at posisition at<54,46> at step 310
Player 2 going at posisition at<59,54> at step 310
Player 1 going at posisition at<53,46> at step 311
Player 2 going at posisition at<59,55> at step 311
Player 1 going at posisition at<52,46> at step 312
Player 2 going at posisition at<59,56> at step 312
Player 1 going at posisition at<51,46> at step 313
Player 2 going at posisition at<60,56> at step 313
Player 1 going at posisition at<50,46> at step 314
Player 2 going at posisition at<60,57> at step 314
Player 1 going at posisition at<49,46> at step 315
Player 2 going at posisition at<61,57> at step 315
Player 1 going at posisition at<48,46> at step 316
Player 2 going at posisition at<62,57> at step 316
Player 1 going at posisition at<47,46> at step 317
Player 2 going at posisition at<62,58> at step 317
Player 1 going at posisition at<47,47> at step 318
Player 2 going at posisition at<62,59> at step 318
Player 1 going at posisition at<46,47> at step 319
Player 2 going at posisition at<62,60> at step 319
Player 1 going at posisition at<45,47> at step 320
Player 2 going at posisition at<62,61> at step 320
Player 1 going at posisition at<44,47> at step 321
Player 2 going at posisition at<63,61> at step 321
Player 1 going at posisition at<44,48> at step 322
Player 2 going at posisition at<64,61> at step 322
Player 1 going at posisition at<44,49> at step 323
Player 2 going at posisition at<65,61> at step 323
Player 1 going at posisition at<44,50> at step 324
Player 2 going at posisition at<66,61> at step 324
Player 1 going at posisition at<44,50> at step 325
Player 2 going at posisition at<66,62> at step 325
Player 1 going at posisition at<45,50> at step 326
Player 2 going at posisition at<67,62> at step 326
